username,sold_price,designer,score,transaction,category_1,category_2,category_3,description,sub_title,image_count,size,color,condition,feedback_count
kalinakin128,105,Bape x New Era,5,13,Bape Menswear,Bape Accessories,Bape Hats,"Bape x Undefeated x New Era Hat
- Worn 2x
- 2012-2013 Release
- Only one on Grailed
- Very Item from Collab
- No TRADES",Bape x Undefeated x New Era Hat,5,ONE SIZE,Navy,Gently Used,1
Squillz27,30,New Era,5,407,New Era Menswear,New Era Accessories,New Era Hats,"Brand new Chicago white Sox new era fitted size 7 1/4, will ship same or next day depending on time of purchase. No low balling & no returns.",New Era Chicago White Sox Fitted Baseball Hat 7 1/4,3,ONE SIZE,Navy,New,248
1Lxfe2LxveINTL,35,Hat Club x MLB,5,121,New Era Menswear,New Era Accessories,New Era Hats,"New Era NY LA 9FORTY Snapback Hat
New Era brings iconic style to your mix with the recent NY LA 9FORTY Snapback Hat. This cap features an adjustable snapback closure, a solid construction, 75th World Series embroidery on the side, and NY & LA embroidered team logos on the front.
* Solid color cap All Beige with The NY AND LA in maroon.
* NY & LA team embroidery
* 75th Word Series embroidered accent 
* Adjustable snapback closure
* New Era branding",New Era NY to LA 9FORTY Snapback Hat,4,ONE SIZE,Beige,New,42
FrontRangeFitted,85,Hat Club x New Era,5,40,New Era Menswear,New Era Accessories,New Era Hats,"HatClub Exclusive
Pink Bottom Collection
All Star Game Side Patch w/ Pink
Milwaukee Brewers
Pink UV
Size 7 1/4
Once paid - I will ship the hat out the next business day.
Also, feel free to send me a message, ask questions or send offers.",Hat Club - Pink UV - Milwaukee Brewers - 7 1/4,2,ONE SIZE,Navy blue,New,11
flvkoab,55,Hat Club x New Era,5,22,New Era Menswear,New Era Accessories,New Era Hats,"7 1/4 Hat Club Noho exclusive frozen tangerine Cardinals
Deadatock with tags
Made in BANG",7 1/4 Hat Club Noho exclusive frozen tangerine Cardinals,3,ONE SIZE,Orange,New,3
702FITTEDZ,80,Hat Club x MLB,5,28,New Era Menswear,New Era Accessories,New Era Hats,"7 3/8 Seattle Mariners Chrome White Snickers Fitted hat
Size 7 3/8 DS
Made in Bangladesh
Dm me for any questions
Thanks!",7 3/8 Seattle Mariners Chrome White Snickers Fitted hat,6,ONE SIZE,White chrome walnut uv,New,18
fiji183165,66,MLB x New Era,5,512,New Era Menswear,New Era Accessories,New Era Hats,"Exclusive New Era Minnesota Twins Fitted Hat MLB Club Size 7 3/8 2tone White
All Star Patch
100 % Brand new with all original tags
New Era Minnesota Twins All Star Game 1965 Cream Shiny Metallic Edition 59Fifty Fitted Hat
IG: Brims4offer",Exclusive New Era Minnesota Twins Fitted Hat Size 7 3/8,5,ONE SIZE,White,New,242
SneakerSimps,48,New Era,5,78,New Era Menswear,New Era Accessories,New Era Hats,"Super fly cap. Barely worn. Would love to keep, but it’s just a tad too small on my noggin. Will ship 🔥 🔥",Montreal Expos New Era Burnt Orange Baseball Cap Hat 7 3/8,9,38,Burnt orange,Gently Used,18
MrMayor214,135,Hat x MyFitteds,5,21,New Era Menswear,New Era Accessories,New Era Hats,"Ready to ship
No lowballing",7 1/2 Boston Red Sox fitted metallic,4,ONE SIZE,Black,New,11
isaakwalz,68,New Era,5,106,New Era Menswear,New Era Accessories,New Era Hats,"7 3/8
Brand New with Pin",7 3/8 Hat Club Seattle Mariners T Dot Fitted,1,ONE SIZE,Purple,New,53
jeremyas1718,47,Hat Club x MyFitteds,5,21,New Era Menswear,New Era Accessories,New Era Hats,"Diamondback Font Side Patch
Maroon Bottom/White Guts
Made in Bangladesh",Arizona Diamondbacks Sportsworld Sandstorm 7 3/8 Fitted,5,ONE SIZE,Tan/maroon,Gently Used,3
Crapelj,92,Hat Club x MyFitteds,5,136,New Era Menswear,New Era Accessories,New Era Hats,"Pittsburgh pirates 🏴‍☠️ banned skully 2006 all star ⭐️
Size 73/8 Jolly Roger 🏴‍☠️",Pittsburgh pirates 🏴‍☠️ banned skully 2006 all star ⭐️,5,ONE SIZE,Off white,New,79
Fitted_add1ct,50,New Era,5,11,New Era Menswear,New Era Accessories,New Era Hats,"Brand new
Message me if any questions",Myfitteds Metallica Expos 7 1/8,3,ONE SIZE,Black,New,6
griffinsdrisco4723,60,New Era x Supreme,5,8,Supreme Menswear,Supreme Accessories,Supreme Hats,"size 7 1/2
never worn
brim has been curved
sticker has been peeled",supreme new era s logo fitted 7 1/2,3,ONE SIZE,Black,New,1
Kxnfitteds,61,MLB x New Era,5,23,New Era Menswear,New Era Accessories,New Era Hats,"Exclusive New Seattle Mariners Script Sonics 59 FIFTY New Era Fitted Hat with 30th Anniversary Side Patch
Hat Stop Exclusive
Size 7 1/8
Made in China
Message me with any questions",7 1/8 Hat Stop Seattle Mariners Script Sonics,7,ONE SIZE,White,New,6
mnmtwinz,116,MyFitteds x New Era,5,232,New Era Menswear,New Era Accessories,New Era Hats,"MyFitteds x Ty Mathis
Size 1/8
Made in China",7 1/8 MyFitteds Seattle Mariners World's Fair Regularolty,7,ONE SIZE,Navy,New,103
chromedbayarea,45,Essentials x New Era,5,77,New Era Menswear,New Era Accessories,New Era Hats,"Size 7
Worn once
Please message with any questions!",Essentials x New Era 59Fifty Fitted Hat,5,ONE SIZE,Brown,Gently Used,30
livejamie,55,New Era x Topperz,,1,New Era Menswear,New Era Accessories,New Era Hats,"Fresh from Germany, Sold out on Topperzstore. I ended up buying two by mistake so my loss is your gain.
Beautiful hat with the metallic stitching Pat is famous for.
In hand with stickers on, it has never been worn, ready for a new home.",8 New Era Augusta Greenjackets Two Tone Edition Fitted Hat,6,ONE SIZE,Green,New,
matt_w1287,61,Lids x MLB,5,5,New Era Menswear,New Era Accessories,New Era Hats,"Boston Red Sox 7 1/2 1961 AllStar Game patch LIDS exclusive
Downsizing my collection get the deals or make offers",Boston Red Sox 7 1/2 1961 AllStar Game patch LIDS exclusive,4,ONE SIZE,Blue,New,5
aburke,124,Hat Club x MyFitteds,5,4,New Era Menswear,New Era Accessories,New Era Hats,"MyFitteds Exclusive “Mathematics/Hagoromo Full Touch” Houston Astros
Size 7 1/8",Houston Astros Mathematics Hagoromo Fulltouch Myfitteds,4,ONE SIZE,Blue/white,New,1
motieNYC,88,Lids x New Era,5,206,New Era Menswear,New Era Accessories,New Era Hats,"Size 7 1/2
Brand new",LidsHD Moon man Seattle mariners 7 1/2,4,ONE SIZE,Black,New,102
