username,sold_price,designer,score,transaction,category_1,category_2,category_3,description,sub_title,image_count,size,color,condition,feedback_count
tommy_truong,90,Nike,5,53,Nike Menswear,Nike Bottoms,Nike Shorts,"Nike Grey Tech Fleece Shorts
Excellent Condition
Size Small
DISCOUNTS W/ PURCHASE OF 2 OR MORE ITEMS
100% Authentic
Size: S
Fits TTS
All sales are final, no returns.
^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^
FREE SHIPPING TO ALL 50 STATES
^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^
Please allow 1-2 business days for shipping & USPS tracking provided.
Shipped USPS FIRST CLASS Standard (2-5 days)
priority shipping upon request.
INTERNATIONAL BUYERS may be presented fees,
message to find your country’s rate.",Nike Grey Tech Fleece Shorts - Grey Sz S,3,Men's / US 30 / EU 46,Grey,Gently Used,27
Wardrobe_Store,65,Nike x Streetwear,5,1119,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,"Nike
Size XL fits L-XL
Condition 9/10
Shipping 14-21 Days✈️
No returns, no exchange ❌
Follow Me.",Nike Golf Storm-fit y2k Vintage Drill Swoosh Sweatpants,10,Men's / US 34 / EU 50,Stone,Gently Used,507
Rimos,136,Nike x Streetwear,5,27,Nike Menswear,Nike Outerwear,Nike Vests,"Size XL
Condition 9/10",Vintage nike Puffer Black Vest,18,Men's / US XL / EU 56 / 4,Black,Gently Used,10
nyshawnn_,351,Jordan Brand x Nike,5,7,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Worn a few times other than that looks brand new
Very minimal star loss
Og All",Jordan 4 Taupe Haze,7,Men's / US 11 / EU 44,Brown,Gently Used,1
MarcO_shop_Latvia,60,F.C. Barcelona x Nike,,4,Nike Menswear,Nike Tops,Nike Short Sleeve T Shirts,"Good condition 9/10🔥👍
Shipping from Baltic states 🇱🇻
Look my acc👀.
Ask me questions 👍🤝.",Nike F.C. Barcelona 2007-2008 Away Jersey t shirt 50 CampNou,9,Men's / US M / EU 48-50 / 2,Blue,Gently Used,
,400,,,,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,,,1,,,,
chomoy77,75,Nike,5,71,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"SIZE 9.5 in women.
Might fit like 8 in mens.
Nike Air Jordan III 3 Retro SE AWOK NRG Vogue BQ3195 001 Women's Size 9.5
Condition is pre owned.
Expect signs of wear.
No original box.
Good used condition.",Nike Air Jordan III 3 Retro SE AWOK NRG Vogue BQ3195 001,12,Men's / US 8 / EU 41,Black,Used,39
wavyduds,114,Drake x Nike,5,148,Nike Menswear,Nike Tops,Nike Short Sleeve T Shirts,"🌊FOLLOW US ON INSTAGRAM @wavyduds🌊
🔹🔸🔹🔸🔹🔸🔹🔸🔹🔸🔹🔸🔹🔸🔹
Nike x Drake NOCTA T-Shirt
Size L
Worn once, great condition
🔹🔸🔹🔸🔹🔸🔹🔸🔹🔸🔹🔸🔹🔸🔹
Terms:
- All sales are final
- All items are delivered with tracking
- Once we have dropped off the parcel at the post office, we no longer hold responsibility over the delivery",NOCTA Tee,3,Men's / US L / EU 52-54 / 3,Black,Gently Used,80
,1300,,,,Nike Menswear,Nike Footwear,Nike Hi Top Sneakers,,,1,,,,
vintagestorecompany,90,Nike x Vintage,5,12,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Nike Vintage Small Swoosh Hoodie
Condition: 4/5
Cool faded / true vintage
Size: L
Shipping worldwide
Check my other listings and follow me
Regular new items",90’s Nike Small Swoosh Hoodie,10,Men's / US L / EU 52-54 / 3,Blue,Used,1
ODINSHOP,69,Nike x Streetwear,5,106,Nike Menswear,Nike Tops,Nike Short Sleeve T Shirts,"I will consider any offers !!!
Size: L
Condition: 5/5.
If you have any problems with a clothes, please
email me first before leaving negative feedback or
opening a case! All problems are solved!
Post signed for with tracking number
AVERAGE SHIPPING TIME:
USA/CA: about 15-30Days.
ALL EU : 15-20about DAYS .
Other : Up to 30 days .
covid delay up to 30 days.
Please be careful and ask any specific questions
about items before purchasing.
We are willing to send you additional detailed
photos as needed.
Ask whatever you want, I will answer any question
Item condition based upon personal interpretation.
no refunds, returns, or
exchanges.
If you like what l'm selling don't forget to click
""Follow Seller"" next to my name! This will allow you
to see all of my current and upcoming listings in a
new personalized feed under the ""My Feed"" tab for
a more curated Grailed browsing experience.",Nike 🔥 Big Logo T-shirt Embroidered Y2K Drill Style Vintage,5,Men's / US L / EU 52-54 / 3,Black,Gently Used,40
GenerationalAvenue,36,Nike x Streetwear,,2,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,"Great Condition, comfy relaxed fit with embroidered swoosh, clean essential sweatpants
( model 5’9” )",Vintage Red Black Nike Sweats,4,Men's / US 33,Black,Gently Used,
wemajor,200,Acronym x Nike,5,45,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Size us8.5
Authentic
Used",Acronym Air Force 1,6,Men's / US 8.5 / EU 41-42,White,Used,40
buffoon,48,Nike x Vintage,5,334,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,rare,Vintage Nike Sb,5,Men's / US 13 / EU 46,White,Gently Used,137
adrienbaures,90,Nike,5,149,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Size 11, 8/10 condition. Hard to find model",Nike SB Dunk Low Pro Ishod Wair - 819674-221 Mens,6,Men's / US 11 / EU 44,Brown,Used,81
billiestore,50,Nike x Streetwear,5,381,Nike Menswear,Nike Tops,Nike Polos,"Hi friend Size:XL Condition 5/5 Excellent vintage Polo, no holes in the patches or any nuances, no part of the tags
Look carefully at all the photos!
☑️If you like what I sell, don't forget to click ""Follow Seller"" next to my name!
🕰Please allow 24-48 hours for order processing.
We will send as soon as possible.
You will always receive a tracking number.
All sales are final.
📩 Feel free to let me know if you are a friend of the store or a repeat customer. We will work out a deal to your satisfaction.
🚚 Items are shipped every day (depending on the time of purchase) your item will be shipped the same day or the next day (excluding weekends).
📦 Delivery worldwide from Ukraine with track number",Vintage Polo Nike Golf Size: XL,10,Men's / US XL / EU 56 / 4,Brown,Gently Used,134
toysamarie,160,Nike,,2,Nike Menswear,Nike Footwear,Nike Hi Top Sneakers,Lightly worn no box,Air Foamposite ‘Eggplant’ 2017,6,Men's / US 11.5 / EU 44-45,Purple,Gently Used,1
serezhavintage,40,Nike x Soccer Jersey,5,63,Nike Menswear,Nike Tops,Nike Jerseys,"FOLLOW ME SO YOU DON’T MISS SOMETHING INTERESTING
Arsenal 2008-2009 Away football jersey
Size L ( see measurements )
In very good condition
Ship on working days
❗️Don't forget to leave your telephone number",Nike Arsenal 2008-2009 Away jersey,11,Men's / US L / EU 52-54 / 3,Yellow,Gently Used,29
Kobias,105,Jordan Brand x Nike,5,20,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Bought this from Travis Scott’s website in 2019, and I’ve worn it quite a bit. On the pocket there is a slight rip, and I’ll admit, it’s from me being a dumbass and trying to open a bottle with it. However - other than that, this hoodie is in really good shape. It’s an XL, and it fits true to size. Oh, andddd it glows in the dark!",Travis Scott x Jordan - “Highest Hoodie II” / XL,5,Men's / US XL / EU 56 / 4,Green,Used,6
LysunetsSeller,100,F.C. Barcelona x Nike,5,1111,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,Condition: good vintage,Vintage Nike Barcelona drill pants brown rare size L,6,Men's / US 34 / EU 50,Brown,Gently Used,285
mandark6,323,Cactus Plant Flea Market x Nike,5,66,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,Used. No original box,Cactus Plant Flea Market x nike Air Force 1,7,Men's / US 12 / EU 45,Black,Used,22
SandyPlankton,28,Nike x Vintage,5,36,Nike Menswear,Nike Tops,Nike Short Sleeve T Shirts,"Ankle insurance Co. Nike T shirt
Kobe Bryant
XXL",Kobe Bryant Ankle insurance Co. Nike t shirt,4,Men's / US XXL / EU 58 / 5,Black,Gently Used,11
LostAngeles,44,Nike,5,959,Nike Menswear,Nike Outerwear,Nike Light Jackets,"Vintage Navy Nike Golf Pullover
Size: Tag is marked as a large
Measurements: 23"" x 30""
Condition: Gently used
-No flaws
Please message me with any questions",Vintage Navy Nike Golf Pullover,4,Men's / US L / EU 52-54 / 3,Navy,Gently Used,510
ForeverAgain,212,Nike x Tom Sachs,5,30,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,Womens Size 12.5 mens 11 in really great condition check out the photos for conduction with cracking gon some of the detail work,Tom Sachs Nike General Purpose shoes sz 12.5 wmn sz 11 Mens,12,Men's / US 11 / EU 44,White,Gently Used,8
SkylineArchive,50,Nike,5,406,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Custom Coffee Dyed Nike Air Force 1
Fair Condition, normal dirt and wear, I didn’t dye them brand new, judge pics for condition
No OG Box
Mens 8.5
Womens 10",Custom Coffee Dyed Nike Air Force 1,5,Men's / US 8.5 / EU 41-42,Beige,Used,166
Ppthrifts,35,Nike x Vintage,5,724,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,Vintage 90s nike drill pants size large,Vintage 90s nike drill pants size large,6,Men's / US 34 / EU 50,Black,Gently Used,297
aydin777,66,Nike,,2,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,Bought last year and out grew them the box came destroyed from GOAT,Nike Dunk Low Chicago Bulls EMB,6,Men's / US 8 / EU 41,Red,Used,
Vintage_Avantstore,55,Nike x Streetwear,5,92,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,"Follow my shop and listings you like regular item updates and price drops
•VINTAGE NIKE TRACK PANTS
•Condition : Perfect Vintage Condition
•Size : XLarge
•Delivery :
- Europe from 14 to 28 working days
- USA from 14 to 36 working days
- Australia/Canada from 16 to 45 working days
Please note that by communicating with me, you confirm that you have read, understood and accepted the conditions listed below:
1. I am not responsible for delivery delays, as I have no way to influence this.
2. Please make an offer only if you are ready to pay via PayPal and are confident that you will buy the product as soon as your offer is accepted.
3. Any questions regarding the goods should be asked before making an offer. I am always ready to provide all the information, measurements and additional photos BEFORE making a deal. I do not revise the accepted proposals.
4. Refund, exchange or refund is not possible, so please check all measurements and ask questions in advance.
5. After placing the order, please do not forget to specify your mobile phone number, it is necessary for successful delivery.
6. I only ship to the address listed in your PayPal account, please make sure it matches your address on Grailed
7. To help customers avoid paying additional fees, always mark parcels as a $20 gift. If you have any preferences regarding the customs of your country, please let me know",VINTAGE NIKE TRACK PANTS,10,Men's / US 36 / EU 52,Blue,Gently Used,36
99Devv,94,Nike x Streetwear,5,136,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"- Worn once
- No scuffs, marks, or wear
- Box in great condition",Nike x Sacai Blazer Low,7,Men's / US 11 / EU 44,White,Gently Used,7
saucykauri,107,Jordan Brand x Nike,5,21,Nike Menswear,Nike Footwear,Nike Hi Top Sneakers,"Air Jordan 5 Laney
super clean
size 10
no box
og lace locks
open to offers",Air Jordan 5 Laney size 10,11,Men's / US 10 / EU 43,Blue,Gently Used,13
rplugg,69,Nike,5,123,Nike Menswear,Nike Accessories,Nike Hats,"Nike U H86 Giannis Freak Cap CI3796-100 Rare | Brand New With Tags
Check my grailed for more items or pm me for more . For bandle deals pm me .
Dont rush Take ur Time . I m here to solve all your questions .
Thank you for your precious time .",Nike U H86 Giannis Freak Cap CI3796-100 Hat Rare,9,ONE SIZE,White,New,44
Supplierx,190,Nike x Streetwear,,6,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"New never worn neck face sbs
comes with extra patches
Size 10",Neckface sb dunks,8,Men's / US 10 / EU 43,Black,New,
street_weather,60,Nike x Nike ACG,5,44,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Size Xl
Condition 9/10",NIKE ACG TEDDY FLEECE VINTAGE JACKER,5,Men's / US XL / EU 56 / 4,Navy,Gently Used,5
YVNGRESELL,188,Jordan Brand x Nike,5,156,Nike Menswear,Nike Footwear,Nike Hi Top Sneakers,"OFFERS ACCEPTED•
𝗝𝗼𝗿𝗱𝗮𝗻 𝗕𝗿𝗮𝗻𝗱 𝗥𝗲𝘁𝗿𝗼 𝟭𝟰 [𝗗𝗼𝗲𝗿𝗻𝗯𝗲𝗰𝗵𝗲𝗿]
SKU: CV2469-001
Black | CT-prple | mlti
Size | Men’s 10
Condition | fairly worn
[USA] shipping only",Jordan Brand Retro 14 [DB] “Iridescent”,10,Men's / US 10 / EU 43,Black/multi,Gently Used,70
arianwyn,150,Nike,,1,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Nike SB Dunk Low Pro
Pink Pig CV1655-600
Purchased and realized the person I bought them from had been wearing two different sizes so one shoe is slightly worn and one is brand new😅
Very gently used.",Nike SB Dunk Low Pro Pink Pig,9,Men's / US 9.5 / EU 42-43,Pink,Gently Used,
YE4TMRW,33,Nike,5,359,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Vintage Nike Golf Pullover Windbreaker Short Sleeve Adult Large Light Brown Mens
The size is L
If you have any questions, do not hesitate to ask! I don't bite :)",Vintage Nike Golf Pullover Windbreaker Short Sleeve Adult Large Light Brown Mens,4,Men's / US L / EU 52-54 / 3,White,Used,84
yuhmommas,60,Nike,,7,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Never worn
4 in youth
Blue, White, Orange",Nike Dunk low,7,Men's / US 5 / EU 37,Blue,New,
Snokaine,21,Nike x Streetwear,5,512,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,Vintage y2k Nike Jogger Pants Black Size M,Vintage y2k Nike Jogger Pants Black Size M,5,Men's / US 32 / EU 48,Black,Gently Used,166
0TPL,60,Japanese Brand x Nike,5,163,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Condition : 8/10
❗️Look at the last 2 photos❗️
📦Sending from Poland. I try to send parcels within 2 business days.
🤝🏻Bundle deals.
💳Payment by PayPal only.
⏱ Expected delivery time to :
USA 🇺🇸 - 7-14 days
Europe - 4-10 days
UK 🇬🇧 - 5-10 days
New Zealand / Australia 🇳🇿🇦🇺- 10-21 days
Asia 🌍 - 7-14 days🤝🏻
I recommend subscribing to my account, I try to add items daily. Everything is delicious and sweet.
Thanks for your attention! I wish you a peaceful sky over your head ✌️",🖤 VINTAGE NIKE CENTER SWOOSH DRILL SWEATSHIRT 90’S,7,Men's / US L / EU 52-54 / 3,Black,Gently Used,71
saintxaul,55,Nike,5,63,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Only tried on
Send offers",Air Force 1,7,Men's / US 6.5 / EU 39-40,White,Gently Used,34
TimelessClassic,95,Jordan Brand x Nike,5,3137,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,"Jordan PSG Nylon Track Pants
Size M
Excellent pre-owned condition
Measures:
Waist 38-50 cm / 15-19.7 in
Length 107 cm / 42.1 in
Inseam 77 cm / 30.3 in
All items are measured laying flat
NO RETURNS
Subscribe, regular stuff updates
Check my another items",Jordan PSG Paris Saint Germain Nylon Track Pants Size M,16,Men's / US 32 / EU 48,Black,Gently Used,1133
monq_shop,100,Nike x Streetwear,5,212,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,"!!!! SEE MY OTHER PRODUCTS!!!!
Condition 10/10
see actual measurements.

Worldwide shipping: Estimated delivery time 14-30 days Please be careful to ask any specific questions about an item before purchasing. I can send you additional photo information if needed.
🧨Send me your suggestions🧨
@PLEASE LEAVE YOUR PHONE NUMBER WHEN YOU BUY@",Nike Track Vintage Pants Drill Swoosh Nylon Joggers Y2K Rare,18,Men's / US 36 / EU 52,Black,Gently Used,68
CuratedByT6,22,Nike,5,216,Nike Menswear,Nike Outerwear,Nike Light Jackets,Vintage Nike Windbreaker,Vintage Nike Windbreaker,2,Men's / US L / EU 52-54 / 3,Blue,Used,50
Butchersrag,62,Nike x Vintage,5,170,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Measurements - XXL
Pit - 27”
Length - 28.5”
Terms and Policy’s.
All Items are Shipped From The United Kingdom , As Store Policy no refunds will be accepted. Packaging process will be recorded when shipping to ensure Smooth Transaction Between Both Party’s. We are not Liable for any damages during transit. All Items are Authenticated before Listing and Re-Authenticated Before Shipment , We Keep Data Storage of Shipped Item Tags to Ensure incase of Fraudulent Reports. When Purchasing you Agree to These Terms and condition
T252",Vintage Nike Swoosh Embroidery Green Sweatshirt,3,Men's / US XXL / EU 58 / 5,Gree,Used,50
Vtg_Jersey_Club,35,Nike x Streetwear,5,140,Nike Menswear,Nike Tops,Nike Short Sleeve T Shirts,.,Nike Center Swoosh Tee T-shirt Size XL,6,Men's / US XL / EU 56 / 4,Green,Gently Used,49
Dreezys_Escape,95,Nike,5,13,Nike Menswear,Nike Outerwear,Nike Light Jackets,"Size: M
True to size
Willing to work a good price (message me)
Low balling usually gets ignored
International shipping costs more please message me beforehand if you are serious about purchasing",Nike Tech Jacket Medium Navy,5,Men's / US M / EU 48-50 / 2,Navy,New,8
JustinGomez1010,231,Jordan Brand x Nike,,24,Nike Womenswear,Nike Footwear,Nike Low Top Sneakers,"Size 6y
Og box
No star loss
Near brand new
Send offers",Jordan 4 Bred,7,Women's / US 6 / IT 36,Black,Gently Used,11
JURAVEL_VINTAGE,53,Nike x Streetwear,5,900,Nike Menswear,Nike Tops,Nike Short Sleeve T Shirts,"Condition very good. See all photos.
Size М
pit to pit - 50 cm
length (back) - 70 cm
I accept combined postage.
If you have any problems, please do not leave bad or neutral feedback, contact me and we will solve them. Safe shipping with tracking number.
Delivery takes from 10-18 days.
Thanks for buying! We look to working with you again!",VINTAGE 00's NIKE CORTEZ RUNNING COR72Z TEE SHIRT,5,Men's / US M / EU 48-50 / 2,Blue,Gently Used,293
ANNSTR,25,Nike x Vintage,5,2965,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Condition visible on the photos
‼️‼️‼️ Carefully look at all the photos and ask questions if you are interested in something before buying. After the sale, I DO NOT MAKE REFUNDS. Take care of my and your time.",Vintage Nike hoodie classic swoosh,14,Men's / US XL / EU 56 / 4,Washed yellow,Used,1086
SWERVEE,45,Nike x Streetwear,5,1824,Nike Menswear,Nike Accessories,Nike Bags Luggage,"5 day shipping delivery 📦
Bag measures 4 1/2 inches across by 7 inches long with heavy duty zipper. Outside pocket and item separator inside. Thick Nike strap about 35 inches of adjustable strap that can separate with the clip to wear as a fanny pack if you wish.",Nike Sling Crossbody Bag,8,ONE SIZE,Black,New,504
JPnate,39,Nike,5,13,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"size Large
fits tts
color heather grey",NIKE MIDDLE SWOOSH HOODIE,2,Men's / US L / EU 52-54 / 3,Grey,Used,1
endz,510,Nike,5,24,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Nike SB Dunk Low
New Castles
Size: 9.5 US
Condition 9.5/10
No OG Box
Only white laces
Only worn to check the fit, stored away since release",Nike Dunk Low SB Premium Newcastle Brown Ale 2008,24,Men's / US 9.5 / EU 42-43,Brown ale,Gently Used,4
LPXVINTAGE,55,Nike x Nike ACG,5,473,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Good condition, no flaws or stains.
Size XS but fit Small
_________________________________
FOLLOW US TO BE UPDATED
OPEN FOR BINDING OFFERS AND BUNDLE DEALS
Most of product are worn, but in good condition, there may be very minor signs of wear due to age, but if we find any more serious flaw, it will be mentioned/pictured👍
Quick respond for every question you have, responding ASAP ☺️
All of clothes I listing got measurements in description, what might be helpful for you in size choicing.
Worldwide shipping available!!!
bundle deals available!!!
Thanks for shopping!!",Nike Bottle Green Vintage Sherpa Ninja Fleece Hoodie 90s,7,Men's / US S / EU 44-46 / 1,Bottle green,Used,226
FredsonManson,65,Nike x Streetwear,5,68,Nike Menswear,Nike Footwear,Nike Hi Top Sneakers,"2012 Vintage Nike Blazer Hight Suede Vintage Old Royal
Size - 46 (US 12, UK 11, 30cm)
Good pre-owned condition - 4/5 (they are minimal traces of use, look carefully all photo)
Authentic
PLEASE READ ALL DESCRIPTIONS AND SEE ALL PHOTO BEFORE BUYING!
Please follow me and check my other listings, there are many exclusive vintage clothes at a low price :)
I will consider any offers!
I am from Ukraine and ship worldwide international shipping (except russia). Post signed for with tracking number. Receive item within 21-35 business days, due to covid delay up to 40+ days.
If you have any problems with the clothes, please email me before leaving a negative feedback or opening a case! All problems are solved!
Please be careful and ask any questions about the product before purchasing.
We are ready to send you additional photo descriptions as needed.",2012 Nike Blazer High Suede Vintage Old Royal Sneakers,16,Men's / US 12 / EU 45,Blue,Used,17
timetovintage,70,Nike x Streetwear,5,135,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,"Original Early 2000’s Olive Green Nike 5 Pockets Track Pants
Size M
Waist 29 inches - 34 inches (fully stretched)
Length 36 inches
Excellent Condition (8.5/10)
Flaws : tiny stain shown in picture
Item will be shipped by Thai Post which usually arrives in 3-6 weeks📦",Vintage Y2K Olive Green Nike Track Pants,14,Men's / US 30 / EU 46,Olive green,Used,43
casinator415,150,Jordan Brand x Nike,5,2448,Nike Menswear,Nike Footwear,Nike Hi Top Sneakers,"Nike Air Jordan 1 Retro Mid SE Pine Green Black Size 11.5 Mens. Used condition, please see photos before purchasing. Comes with original box. Fast free shipping in the United States!
International buyers message me for a quote!",Nike Air Jordan 1 Retro Mid SE Pine Green Black Size 11.5,12,Men's / US 11.5 / EU 44-45,Green,Used,1341
deezeesl,75,Nike,5,247,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Great condition. All clothes are washed before they are shipped. No blemishes/rips/fading.
If you have any more questions/concerns, or would like more photos, shoot me a PM! :)",Vintage Nike Navy Quarter-Zip Pullover,6,Men's / US M / EU 48-50 / 2,Beige,Used,78
MilkyMarkus,200,Jordan Brand x Nike,5,25,Nike Menswear,Nike Footwear,Nike Hi Top Sneakers,"Good Condition
Size 10
Pre Owned
No Box
Rare Shoe
Great Size
Last Sale On Stock X $553
Lowest Ask $915
Giving Away For A Steal
💬 Message Me With Any Questions
📏 Measurements On Request
💰 Bundle To Save
🚚 Everything Will Be Shipped Within 3 Days
❌ No Refunds, Sales Are Final",Jordan 6 Oreo Size 10 2010,7,Men's / US 10 / EU 43,White,Gently Used,8
Trixie2nd,75,Nike x Streetwear,5,452,Nike Menswear,Nike Accessories,Nike Hats,"Original Vintage Nike (Rare)
Condition : 8.5/10 (No Stains / No Hole)
Details : By Picture
✅ Payments are made through PayPal.
* We will deliver within 24h after we have received the Payment. accompany with the parcel number in the message
✅ Shipping
By United States Postal Service (USPS)
** Worldwide Shipping Takes 7-10 Days **
📌 Please give us your phone number together with address after your purchasing
Ask for any questions.
📌 Please follow us, we update stuffs everyday.
✔️ Thank You.",Vintage Nike Big Swoosh Logo Cap (Rare),4,ONE SIZE,Black,Used,210
jays_shop,100,Jordan Brand x Nike,,19,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Travis scott X nike X jordan hoodie. Color green, its brand New in 10/10 condition. It has no flaws. Size Large fits true to size. And it glows in the dark!!",Travis scott jordan cactus jack highest hoodie,3,Men's / US L / EU 52-54 / 3,Green,New,5
HiHighs4theLowlo,80,Nike x Sacai,5,5,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,Good shoe. Worn 1 time. So clean it shows.,Nike LD Waffle Sacai Clot Kiss of Death 2- Cool Grey sz 10.5,9,Men's / US 10.5 / EU 43-44,Cool grey/obsidian,Gently Used,1
vinniesvintage,70,Nike x Vintage,5,7436,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,"PLEASE READ:
MEASUREMENTS ARE SHOWN IN THE PICTURES
*items are used and may contain unmentioned flaws*
Prices are in USD
Search “vinniesvintage” to browse our selection by category/size",Vintage y2k Nike embroidered swoosh track pants black large,4,Men's / US 32 / EU 48,Black,Used,2953
