username,sold_price,designer,score,transaction,category_1,category_2,category_3,description,sub_title,image_count,size,color,condition,feedback_count
shmoterium,30,Nike x Streetwear,5,1393,Nike Menswear,Nike Bottoms,Nike Shorts,"Nike Shorts
Size L
Conditions not very good
Pls Check all photos !
Tracked worldwide delivery from Ukraine!
Sending within 48 hours after payment received.
Delivery time:
Europe - 7-12 working days
Asia - 10-18 working days
USA and Canada - 10-18 working days
Australia and Oceania - 14-22 working days
Other countries - 10-22 working days
TAX Free for all parcels. No returns",Vintage Nike Dri Fit Shorts,8,Men's / US 34 / EU 50,Green,Used,441
ThreepeatThrifting,165,Nike,5,97,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Nike Dunk Panda Low Size 10 Good Condtion
OG box included",Nike Dunk Panda Low Size 10 Good Condtion,6,Men's / US 10 / EU 43,Black,Used,58
street_weather,89,Nike x Streetwear,5,44,Nike Menswear,Nike Outerwear,Nike Light Jackets,"Size L
Condition 8/10
Need washing",NIKE SHOX VINTAGE CENTER LOGO OVERSIZE ANORAK JACKET,7,Men's / US L / EU 52-54 / 3,White,Gently Used,5
Igotsole503,180,Jordan Brand x Nike,5,49,Nike Menswear,Nike Footwear,Nike Hi Top Sneakers,"Mens size 10 / Has original box
9/10 condition. Shoes have some light toe and ankle creasing. Bottoms slightly dirty",Jordan 6 Electric Green size 10,11,Men's / US 10 / EU 43,Black,Gently Used,36
usedclothes,51,Nike x Stussy,5,2240,Nike Menswear,Nike Tops,Nike Short Sleeve T Shirts,"Brand new with tags
Tagged medium fits oversized
See photos",Increase the Peace Tee Nike x Stüssy M/L,7,Men's / US M / EU 48-50 / 2,White,New,798
cmcctorr2546,64,Nike,5,55,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"• 8/10 Condition
Minor dirt but can easily be clean
• Box included
• Message me for any questions!",Nike Air Max 95 Ying Yang Pack,6,Men's / US 7 / EU 40,White,Gently Used,25
DeeSstore,42,Nike x Streetwear,5,1088,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,"Good condition, one hole
Waist: 36-50 cm",Vintage y2k Nike Black Track Pants Swoosh Drill Air,8,Men's / US 32 / EU 48,Black,Used,318
rdrendition,217,Nike x Sacai,5,64,Undercover Menswear,Undercover Footwear,Undercover Low Top Sneakers,Brand New Never Worn Nike Sacai Undercover Sneakers. Great summertime kicks.,Nike Sacai Undercover LD Waffles,8,Men's / US 9 / EU 42,Maroon,New,55
kicksbytheshore,160,Nike,5,29,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Condition: Gently Worn, All OG, No Box
Brand: Nike
Model: Dunk Low
Colorway: Valerian Blue
Size: 10.5 M
SKU: DD1391-400
Buy from a reputable seller that will get you your item quickly and safely!",Nike Dunk Low Valerian Blue 10.5 Gently Used DD1391-400,4,Men's / US 10.5 / EU 43-44,Blue,Used,13
DVRKNESS,200,Jordan Brand x Nike,5,17,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Wore once, need gone.
Cannot sell on StockX so I’m listing it here, open to offers.
They are reflective",Air Jordan 4 Retro SE Neon,7,Men's / US 10.5 / EU 43-44,Grey,Gently Used,5
Jtsvintage,45,Nike x Streetwear,5,71,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,"Size: Men's M
Still in great condition 🔥 super sick pair of Nike pants ! Always shop with confidence and make sure to check out our other listings 🙏🏽",Vintage Nike Black & Green Nylon Pants,4,Men's / US 30 / EU 46,Black,Gently Used,18
