main_brand,color,sold_price,category,score,size,genda,condition_encoded
Number (N)ine,White,49.0,Top,5.0,m,Men,1
NBA,Black,87.0,Bottom,5.0,l,Men,1
Fila,White,55.0,Top,5.0,l,Men,2
Versace Jeans Couture,Yellow,323.0,Top,5.0,l,Men,1
Anti Social Social Club,White,123.0,Top,5.0,l,Men,0
Undercover,Black,60.0,Top,5.0,m,Men,1
Kanye West,Brown,147.0,Top,5.0,m,Men,0
Supreme,Black,74.0,Top,5.0,m,Men,1
Takahiromiyashita The Soloist.,White,139.0,Top,5.0,l,Men,2
Travis Scott,White,45.0,Top,5.0,xl,Men,1
Tommy Hilfiger,Yellow,40.0,Top,5.0,l,Men,1
Champion,Grey,35.0,Top,5.0,xl,Men,2
Hedi Slimane,multi_color,250.0,Bottom,5.0,m,Men,0
Valentino,Burgundy,110.0,Bottom,5.0,s,Men,0
Seditionaries,White,110.0,Bottom,5.0,s,Men,2
Hawaiian Shirt,Grey,55.0,Top,5.0,xl,Men,2
Ysl Pour Homme,Navy,90.0,Outerwear,5.0,m,Men,1
Levi's,Blue,135.0,Bottom,5.0,m,Men,2
Reebok,White,240.0,Footwear,5.0,l,Men,0
Stussy,multi_color,108.0,Footwear,5.0,m,Men,1
Off-White,Black,130.0,Top,5.0,s,Men,2
Military,Black,34.0,Top,5.0,xl,Men,2
Hanes,White,35.0,Top,5.0,s,Men,2
Nike,Blue,55.0,Top,5.0,l,Men,2
Calvin Klein,White,125.0,Footwear,5.0,l,Men,1
Palace,Grey,109.0,Top,5.0,l,Men,0
Ralph Lauren,Grey,67.0,Top,5.0,l,Men,1
Saint Laurent Paris,White,225.0,Top,5.0,l,Men,1
Kapital,Indigo,202.0,Bottom,5.0,m,Men,2
Disney,Black,32.0,Top,5.0,l,Men,1
Distressed Denim,Blue,125.0,Bottom,5.0,xs,Men,2
Kappa,multi_color,36.0,Top,5.0,l,Men,1
Lacoste,multi_color,38.0,Top,5.0,l,Men,1
Avant Garde,White,69.0,Top,5.0,m,Men,1
Virgil Abloh,Black,475.0,Bottom,5.0,s,Men,0
Russell Athletic,Grey,70.0,Top,5.0,s,Men,2
Mickey Mouse,Grey,155.0,Top,5.0,l,Men,2
Burberry,Beige,340.0,Acceorie,5.0,ONE SIZE,Men,0
Acne Studios,Grey,300.0,Outerwear,5.0,m,Men,1
Balenciaga,Black,350.0,Acceorie,5.0,ONE SIZE,Men,0
Band Tees,White,177.0,Top,5.0,s,Men,2
Harley Davidson,White,31.0,Top,5.0,xxs,Men,2
Polo Ralph Lauren,Grey,90.0,Top,5.0,xs,Men,1
The North Face,Blue,155.0,Outerwear,5.0,s,Men,2
Hype,Brown,270.0,Outerwear,5.0,m,Women,1
Puma,Red,35.0,Top,5.0,l,Men,1
Gucci,Silver,155.0,Acceorie,5.0,ONE SIZE,Men,2
Dior,Black,179.0,Acceorie,5.0,ONE SIZE,Men,1
Hysteric Glamour,White,80.0,Top,5.0,xl,Men,1
Prada,Pink,100.0,Top,5.0,l,Men,1
Patagonia,Grey,90.0,Top,5.0,m,Men,1
Dolce & Gabbana,Camo,80.0,Bottom,5.0,m,Men,1
Levi's Vintage Clothing,Denim,55.0,Bottom,5.0,xl,Men,2
Dickies,Brown,47.0,Outerwear,5.0,xl,Men,2
Bape,Maroon,85.0,Top,5.0,m,Men,1
MLB,Blue,141.0,Outerwear,5.0,xl,Women,0
Uniqlo,Beige,32.0,Bottom,5.0,m,Men,0
Vans,multi_color,111.0,Footwear,5.0,l,Men,0
Rick Owens Drkshdw,Black,305.0,Footwear,5.0,m,Men,2
Adidas,Grey,50.0,Top,5.0,m,Men,1
Gildan,Green,41.0,Top,5.0,m,Men,2
Kapital Kountry,Denim,712.0,Bottom,5.0,l,Men,1
Luxury,Grey,39.0,Bottom,5.0,s,Men,1
Lee,Green,36.0,Bottom,5.0,s,Men,2
NFL,Black,50.0,Top,5.0,m,Men,1
Tour Tee,Black,115.0,Bottom,5.0,m,Men,1
Guess,Green,60.0,Acceorie,5.0,ONE SIZE,Men,1
Gap,Black,40.0,Top,5.0,xl,Men,2
Converse,Maroon,40.0,Footwear,5.0,s,Men,1
Versace,Black,129.0,Acceorie,5.0,ONE SIZE,Men,0
Yves Saint Laurent,Blue,50.0,Top,5.0,l,Men,1
Maison Margiela,Blue,157.0,Top,5.0,l,Men,1
Issey Miyake,Blue,60.0,Bottom,5.0,s,Men,3
Fruit Of The Loom,Grey,45.0,Top,5.0,l,Men,2
Louis Vuitton,Green,118.0,Acceorie,5.0,ONE SIZE,Women,2
Rick Owens,Brown,230.0,Footwear,5.0,m,Men,0
Number (N)ine,Black,80.0,Top,5.0,l,Men,2
NBA,multi_color,65.0,Outerwear,5.0,xxl,Men,2
Fila,Cream,50.0,Top,5.0,l,Men,1
Versace Jeans Couture,Black,50.0,Top,5.0,m,Men,1
Anti Social Social Club,Black,85.0,Top,5.0,xxl,Men,0
Undercover,Black,122.0,Top,5.0,l,Men,2
Kanye West,Purple,122.0,Top,5.0,l,Men,1
Supreme,Tan,160.0,Outerwear,5.0,s,Men,1
Takahiromiyashita The Soloist.,Purple,80.0,Top,5.0,m,Men,2
Travis Scott,multi_color,500.0,Footwear,5.0,m,Men,1
Tommy Hilfiger,Green,38.0,Top,5.0,xxl,Men,1
Champion,Purple,59.0,Top,5.0,m,Men,1
Hedi Slimane,Black,150.0,Top,5.0,m,Men,1
Valentino,Green,70.0,Top,5.0,m,Men,1
Seditionaries,Black,200.0,Outerwear,5.0,m,Women,2
Hawaiian Shirt,Brown,55.0,Top,5.0,m,Men,1
Ysl Pour Homme,Black,115.0,Top,5.0,m,Men,1
Levi's,Blue,98.0,Bottom,5.0,l,Men,1
Reebok,Green,62.0,Top,5.0,xl,Men,2
Stussy,multi_color,165.0,Footwear,5.0,l,Men,1
Off-White,multi_color,169.0,Top,5.0,m,Men,1
Military,Camo,36.0,Bottom,5.0,s,Men,1
Hanes,Black,80.0,Top,5.0,l,Men,1
Nike,Brown,95.0,Top,5.0,m,Men,2
Calvin Klein,Cream,80.0,Outerwear,5.0,l,Men,1
Palace,Black,85.0,Top,5.0,l,Men,0
Ralph Lauren,Black,70.0,Top,5.0,xl,Men,1
Saint Laurent Paris,Silver,245.0,Acceorie,5.0,ONE SIZE,Men,1
Kapital,Green,253.0,Acceorie,5.0,ONE SIZE,Men,0
Disney,Orange,35.0,Top,5.0,xl,Men,1
Distressed Denim,Denim,43.0,Bottom,5.0,m,Men,0
Kappa,Black,40.0,Bottom,5.0,m,Men,1
Lacoste,Green,60.0,Outerwear,5.0,m,Men,2
Avant Garde,Black,175.0,Outerwear,5.0,xl,Men,1
Virgil Abloh,Purple,1332.0,Bottom,5.0,l,Men,1
Russell Athletic,Red,65.0,Top,5.0,l,Men,1
Mickey Mouse,multi_color,175.0,Outerwear,5.0,l,Men,2
Burberry,White,65.0,Top,5.0,m,Men,1
Acne Studios,Brown,350.0,Outerwear,5.0,m,Men,1
Balenciaga,Grey,230.0,Footwear,5.0,m,Men,2
Band Tees,Pink,34.0,Top,5.0,s,Women,0
Harley Davidson,Red,40.0,Top,5.0,xl,Men,1
Polo Ralph Lauren,Blue,82.0,Top,5.0,s,Men,1
The North Face,Black,115.0,Outerwear,5.0,s,Women,1
Hype,Brown,45.0,Bottom,5.0,l,Men,1
Puma,Red,34.0,Outerwear,5.0,s,Men,0
Gucci,Black,205.0,Top,5.0,m,Men,2
Dior,Black,140.0,Bottom,5.0,s,Men,1
Hysteric Glamour,Grey,120.0,Top,5.0,m,Men,2
Prada,Grey,87.0,Bottom,5.0,s,Men,1
Patagonia,Navy,36.0,Outerwear,5.0,l,Men,1
Dolce & Gabbana,Green,95.0,Outerwear,5.0,l,Men,2
Levi's Vintage Clothing,Blue,70.0,Bottom,5.0,s,Men,2
Dickies,Black,40.0,Bottom,5.0,xl,Men,1
Bape,Black,64.0,Acceorie,5.0,ONE SIZE,Men,0
MLB,Tan,33.0,Top,5.0,xl,Men,2
Uniqlo,multi_color,150.0,Outerwear,5.0,xxl,Men,1
Vans,Green,120.0,Footwear,5.0,l,Men,1
Rick Owens Drkshdw,multi_color,501.0,Footwear,5.0,l,Men,1
Adidas,Black,185.0,Footwear,5.0,m,Men,0
Gildan,Green,37.0,Top,5.0,l,Men,1
Kapital Kountry,Blue,120.0,Top,5.0,m,Men,1
Luxury,White,38.0,Top,5.0,xl,Men,1
Lee,White,35.0,Bottom,5.0,l,Men,1
NFL,Brown,45.0,Top,5.0,xl,Men,2
Tour Tee,Blue,36.0,Top,5.0,l,Men,2
Guess,Brown,50.0,Bottom,5.0,m,Men,1
Gap,Pink,62.0,Top,5.0,m,Men,1
Converse,Black,60.0,Footwear,5.0,l,Men,3
Versace,multi_color,268.0,Outerwear,5.0,s,Men,2
Yves Saint Laurent,White,300.0,Footwear,5.0,m,Men,2
Maison Margiela,White,151.0,Footwear,5.0,m,Men,2
Issey Miyake,Black,200.0,Bottom,5.0,m,Men,1
Fruit Of The Loom,Black,41.0,Top,5.0,m,Men,2
Louis Vuitton,Brown,2130.0,Outerwear,5.0,xxs,Men,1
Rick Owens,Black,120.0,Footwear,5.0,s,Men,1
Number (N)ine,Brown,149.0,Top,5.0,m,Men,2
NBA,Blue,516.0,Outerwear,5.0,xl,Men,0
Fila,Red,52.0,Outerwear,5.0,m,Men,1
Versace Jeans Couture,Black,60.0,Top,5.0,xl,Men,1
Anti Social Social Club,Blue,130.0,Top,5.0,xl,Men,0
Undercover,White,65.0,Top,5.0,m,Men,3
Kanye West,Blue,115.0,Top,5.0,l,Men,1
Supreme,Black,162.0,Acceorie,5.0,ONE SIZE,Men,1
Takahiromiyashita The Soloist.,Grey,90.0,Top,5.0,xl,Men,1
Travis Scott,Black,765.0,Footwear,5.0,m,Men,2
Tommy Hilfiger,Grey,61.0,Top,5.0,xl,Men,2
Champion,Navy,33.0,Top,5.0,s,Men,2
Hedi Slimane,Grey,190.0,Bottom,5.0,s,Men,1
Valentino,White,250.0,Footwear,5.0,s,Men,0
Seditionaries,Black,195.0,Luggage,5.0,ONE SIZE,Women,2
Hawaiian Shirt,multi_color,68.0,Top,5.0,l,Men,1
Ysl Pour Homme,Cream,140.0,Outerwear,5.0,m,Men,1
Levi's,Blue,75.0,Bottom,5.0,s,Men,1
Reebok,Black,42.0,Top,5.0,xl,Men,0
Stussy,Black,135.0,Footwear,5.0,m,Men,1
Off-White,Black,252.0,Top,5.0,m,Men,1
Military,Green,33.0,Outerwear,5.0,l,Men,3
Hanes,Black,60.0,Top,5.0,l,Men,2
Nike,Grey,130.0,Footwear,5.0,xl,Men,1
Calvin Klein,Black,67.0,Bottom,5.0,s,Men,2
Palace,Blue,200.0,Outerwear,5.0,l,Men,0
Ralph Lauren,Black,173.0,Top,5.0,xl,Men,1
Saint Laurent Paris,Black,595.0,Footwear,5.0,l,Men,0
Kapital,Blue,610.0,Outerwear,5.0,m,Men,1
Disney,Blue,42.0,Outerwear,5.0,l,Men,2
Distressed Denim,Black,52.0,Bottom,5.0,l,Women,2
Kappa,Blue,40.0,Top,5.0,xl,Men,2
Lacoste,Striped,60.0,Top,5.0,xl,Men,2
Avant Garde,Black,85.0,Outerwear,5.0,xxl,Women,0
Virgil Abloh,multi_color,870.0,Top,5.0,xl,Men,1
Russell Athletic,Blue,53.0,Top,5.0,l,Men,3
Mickey Mouse,Green,65.0,Top,5.0,m,Men,1
Burberry,Brown,130.0,Outerwear,5.0,m,Men,2
Acne Studios,Beige,280.0,Top,5.0,s,Men,0
Balenciaga,Black,715.0,Footwear,5.0,m,Men,0
Band Tees,Black,100.0,Top,5.0,s,Men,2
Harley Davidson,Black,45.0,Top,5.0,xl,Men,2
Polo Ralph Lauren,Green,55.0,Top,5.0,xl,Men,2
The North Face,multi_color,130.0,Outerwear,5.0,m,Men,1
Hype,Grey,45.0,Bottom,5.0,m,Men,0
Puma,multi_color,76.0,Footwear,5.0,l,Men,0
Gucci,Silver,305.0,Acceorie,5.0,ONE SIZE,Men,0
Dior,Brown,85.0,Acceorie,5.0,ONE SIZE,Men,1
Hysteric Glamour,Blue,180.0,Bottom,5.0,s,Men,2
Prada,Black,200.0,Acceorie,5.0,ONE SIZE,Men,2
Patagonia,Grey,119.0,Outerwear,5.0,m,Women,1
Dolce & Gabbana,Black,60.0,Acceorie,5.0,ONE SIZE,Women,1
Levi's Vintage Clothing,Khaki,39.0,Bottom,5.0,l,Men,2
Dickies,Black,65.0,Outerwear,5.0,m,Men,1
Bape,White,160.0,Footwear,5.0,m,Men,2
MLB,multi_color,59.0,Outerwear,5.0,xl,Men,1
Uniqlo,Black,95.0,Outerwear,5.0,m,Men,1
Vans,Black,281.0,Footwear,5.0,m,Men,1
Rick Owens Drkshdw,Black,205.0,Bottom,5.0,l,Men,1
Adidas,White,180.0,Top,5.0,xl,Men,1
Gildan,Black,118.0,Top,5.0,xxl,Men,1
Kapital Kountry,Blue,59.0,Outerwear,5.0,m,Men,1
Luxury,Black,55.0,Bottom,5.0,s,Men,1
Lee,Blue,40.0,Bottom,5.0,l,Men,2
NFL,multi_color,60.0,Top,5.0,xl,Men,0
Tour Tee,Black,90.0,Top,5.0,xxl,Men,2
Guess,Grey,38.0,Top,5.0,xl,Men,2
Gap,Green,55.0,Top,5.0,s,Men,1
Converse,Black,58.0,Top,5.0,l,Men,2
Versace,Beige,64.0,Bottom,5.0,l,Men,2
Yves Saint Laurent,Black,360.0,Footwear,5.0,l,Men,1
Maison Margiela,Navy,73.0,Footwear,5.0,m,Women,2
Issey Miyake,Grey,120.0,Top,5.0,m,Men,0
Fruit Of The Loom,Black,72.0,Top,5.0,xl,Men,2
Louis Vuitton,multi_color,300.0,Acceorie,5.0,ONE SIZE,Men,0
Rick Owens,White,113.0,Footwear,5.0,m,Men,1
Number (N)ine,Black,365.0,Acceorie,5.0,ONE SIZE,Men,1
NBA,Navy,40.0,Top,5.0,m,Men,2
Fila,Blue,50.0,Top,5.0,xxl,Men,2
Versace Jeans Couture,Black,118.0,Acceorie,5.0,ONE SIZE,Men,0
Anti Social Social Club,Black,149.0,Top,5.0,m,Men,0
Undercover,Black,200.0,Top,5.0,l,Men,2
Kanye West,Purple,120.0,Top,5.0,s,Men,1
Supreme,Pink,40.0,Bottom,5.0,m,Men,1
Takahiromiyashita The Soloist.,Black,300.0,Bottom,5.0,xs,Men,1
Travis Scott,Black,648.0,Footwear,5.0,s,Men,0
Tommy Hilfiger,Green,37.0,Top,5.0,xl,Men,2
Champion,Black,39.0,Top,5.0,l,Men,1
Hedi Slimane,Black,274.0,Bottom,5.0,s,Men,1
Valentino,multi_color,39.0,Top,5.0,m,Men,2
Seditionaries,Black,65.0,Top,5.0,m,Men,1
Hawaiian Shirt,Black,54.0,Top,5.0,xl,Men,2
Ysl Pour Homme,Black,180.0,Outerwear,5.0,l,Men,1
Levi's,Blue,53.0,Bottom,5.0,m,Men,2
Reebok,White,40.0,Top,5.0,m,Men,1
Stussy,Black,125.0,Footwear,5.0,m,Men,1
Off-White,Black,75.0,Acceorie,5.0,ONE SIZE,Men,0
Military,Khaki,75.0,Outerwear,5.0,m,Men,1
Hanes,White,33.0,Top,5.0,xl,Men,3
Nike,Black,60.0,Top,5.0,l,Men,1
Calvin Klein,Indigo,79.0,Bottom,5.0,s,Men,0
Palace,Grey,70.0,Acceorie,5.0,xs,Men,0
Ralph Lauren,Blue,96.0,Top,5.0,m,Men,1
Saint Laurent Paris,Blue,247.0,Top,5.0,m,Men,1
Kapital,Blue,500.0,Outerwear,5.0,s,Men,1
Disney,Black,87.0,Top,5.0,xs,Men,1
Distressed Denim,Blue,100.0,Bottom,5.0,l,Men,2
Kappa,Black,80.0,Footwear,5.0,xl,Men,0
Lacoste,Khaki,53.0,Top,5.0,xl,Men,1
Avant Garde,Black,125.0,Outerwear,5.0,l,Men,2
Virgil Abloh,Blue,300.0,Bottom,5.0,s,Men,1
Russell Athletic,Black,82.0,Top,5.0,m,Men,2
Mickey Mouse,multi_color,235.0,Outerwear,5.0,xl,Men,2
Burberry,multi_color,50.0,Top,5.0,l,Men,1
Acne Studios,multi_color,260.0,Top,5.0,s,Men,1
Balenciaga,Black,175.0,Footwear,5.0,m,Men,2
Band Tees,White,94.0,Top,5.0,xl,Men,1
Harley Davidson,Orange,50.0,Top,5.0,l,Men,1
Polo Ralph Lauren,multi_color,160.0,Top,5.0,xs,Women,1
The North Face,Red,210.0,Outerwear,5.0,s,Men,1
Hype,Black,140.0,Top,5.0,xxl,Men,0
Puma,Blue,37.0,Top,5.0,l,Men,1
Gucci,Grey,72.0,Top,5.0,xl,Men,1
Dior,Black,130.0,Bottom,5.0,s,Men,2
Hysteric Glamour,Black,200.0,Bottom,5.0,s,Men,1
Prada,Black,221.0,Bottom,5.0,l,Men,2
Patagonia,Green,101.0,Outerwear,5.0,m,Men,2
Dolce & Gabbana,Blue,45.0,Bottom,5.0,l,Women,2
Levi's Vintage Clothing,Blue,32.0,Outerwear,5.0,l,Men,1
Dickies,Brown,55.0,Bottom,5.0,l,Men,2
Bape,White,245.0,Top,5.0,xl,Men,1
MLB,multi_color,70.0,Outerwear,5.0,l,Men,1
Uniqlo,Grey,120.0,Outerwear,5.0,m,Men,0
Vans,White,51.0,Top,5.0,l,Men,0
Rick Owens Drkshdw,Black,600.0,Outerwear,5.0,m,Men,1
Adidas,Black,70.0,Acceorie,5.0,ONE SIZE,Men,2
Gildan,Black,70.0,Top,5.0,m,Men,0
Kapital Kountry,Blue,741.0,Bottom,5.0,m,Men,0
Luxury,Black,160.0,Top,5.0,l,Men,2
Lee,Black,50.0,Top,5.0,l,Men,3
NFL,Grey,31.0,Top,5.0,l,Men,2
Tour Tee,Black,31.0,Top,5.0,l,Men,1
Guess,White,64.0,Top,5.0,l,Men,2
Gap,Brown,95.0,Top,5.0,m,Men,0
Converse,Black,160.0,Footwear,5.0,m,Women,1
Versace,Red,222.0,Acceorie,5.0,ONE SIZE,Men,0
Yves Saint Laurent,Blue,195.0,Top,5.0,xxl,Men,1
Maison Margiela,Black,150.0,Bottom,5.0,s,Men,1
Issey Miyake,Black,178.0,Top,5.0,m,Men,1
Fruit Of The Loom,White,40.0,Top,5.0,xxl,Men,1
Louis Vuitton,White,181.0,Acceorie,5.0,ONE SIZE,Men,1
Rick Owens,multi_color,390.0,Footwear,5.0,m,Men,1
Number (N)ine,multi_color,220.0,Top,5.0,l,Men,1
NBA,Black,70.0,Top,5.0,l,Men,2
Fila,Beige,35.0,Top,5.0,m,Men,2
Versace Jeans Couture,Black,60.0,Bottom,5.0,m,Men,1
Anti Social Social Club,Black,66.0,Top,5.0,xxl,Men,2
Undercover,Black,117.0,Top,5.0,m,Men,1
Kanye West,Blue,145.0,Top,5.0,l,Men,0
Supreme,Navy,175.0,Top,5.0,l,Men,1
Takahiromiyashita The Soloist.,Blue,175.0,Bottom,5.0,s,Men,1
Travis Scott,multi_color,339.0,Footwear,5.0,xs,Men,1
Tommy Hilfiger,Green,34.0,Top,5.0,l,Men,1
Champion,Grey,33.0,Top,5.0,xl,Men,2
Hedi Slimane,Black,146.0,Bottom,5.0,m,Men,2
Valentino,multi_color,147.0,Top,5.0,xl,Men,1
Seditionaries,Black,80.0,Top,5.0,xl,Men,1
Hawaiian Shirt,multi_color,35.0,Top,5.0,l,Men,1
Ysl Pour Homme,Black,150.0,Outerwear,5.0,l,Men,1
Levi's,Blue,73.0,Bottom,5.0,l,Men,2
Reebok,Navy,51.0,Top,5.0,l,Men,2
Stussy,multi_color,135.0,Footwear,5.0,m,Men,1
Off-White,Black,70.0,Top,5.0,l,Men,3
Military,Olive,80.0,Bottom,5.0,m,Men,2
Hanes,White,33.0,Top,5.0,l,Men,2
Nike,Black,62.0,Bottom,5.0,m,Women,2
Calvin Klein,Blue,44.0,Footwear,5.0,m,Men,1
Palace,White,50.0,Acceorie,5.0,ONE SIZE,Men,0
Ralph Lauren,Denim,80.0,Top,5.0,l,Men,2
Saint Laurent Paris,Black,323.0,Bottom,5.0,s,Men,1
Kapital,multi_color,435.0,Outerwear,5.0,m,Men,1
Disney,White,45.0,Top,5.0,xl,Men,2
Distressed Denim,Blue,330.0,Bottom,5.0,m,Women,3
Kappa,Red,34.0,Bottom,5.0,xs,Men,1
Lacoste,Blue,32.0,Top,5.0,xxl,Men,2
Avant Garde,Black,55.0,Top,5.0,xl,Men,2
Virgil Abloh,Black,800.0,Outerwear,5.0,m,Men,0
Russell Athletic,Navy,80.0,Top,5.0,xs,Men,2
Mickey Mouse,multi_color,53.0,Outerwear,5.0,m,Men,1
Burberry,Red,90.0,Top,5.0,l,Men,1
Acne Studios,Blue,95.0,Top,5.0,l,Men,1
Balenciaga,Black,930.0,Bottom,5.0,s,Men,0
Band Tees,Black,145.0,Top,5.0,xl,Men,2
Harley Davidson,Black,61.0,Top,5.0,m,Men,1
Polo Ralph Lauren,Navy,42.0,Top,5.0,m,Men,1
The North Face,multi_color,165.0,Outerwear,5.0,xs,Men,2
Hype,Black,55.0,Top,5.0,xl,Men,1
Puma,Brown,57.0,Footwear,5.0,l,Men,1
Gucci,Black,150.0,Acceorie,5.0,ONE SIZE,Men,0
Dior,Black,340.0,Top,5.0,s,Men,0
Hysteric Glamour,White,65.0,Top,5.0,s,Men,1
Prada,Black,140.0,Acceorie,5.0,ONE SIZE,Men,1
Patagonia,Grey,80.0,Top,5.0,s,Men,1
Dolce & Gabbana,Black,135.0,Bottom,5.0,m,Men,1
Levi's Vintage Clothing,Navy,60.0,Bottom,5.0,m,Men,1
Dickies,Olive,40.0,Bottom,5.0,xl,Men,1
Bape,multi_color,420.0,Outerwear,5.0,m,Men,1
MLB,Red,50.0,Top,5.0,xl,Men,1
Uniqlo,White,45.0,Top,5.0,m,Men,0
Vans,Black,60.0,Footwear,5.0,l,Men,2
Rick Owens Drkshdw,Black,750.0,Footwear,5.0,m,Women,1
Adidas,Red,40.0,Top,5.0,l,Men,2
Gildan,Black,35.0,Top,5.0,xl,Men,2
Kapital Kountry,Blue,85.0,Acceorie,5.0,ONE SIZE,Men,1
Luxury,Grey,94.0,Top,5.0,l,Women,1
Lee,Black,45.0,Top,5.0,xxl,Men,1
NFL,Blue,40.0,Top,5.0,m,Men,1
Tour Tee,Black,130.0,Top,5.0,l,Men,2
Guess,Brown,47.0,Top,5.0,xl,Men,2
Gap,Brown,47.0,Top,5.0,m,Men,1
Converse,Khaki,97.0,Footwear,5.0,l,Men,1
Versace,Brown,220.0,Footwear,5.0,m,Men,0
Yves Saint Laurent,Black,34.0,Top,5.0,l,Men,1
Maison Margiela,White,138.0,Top,5.0,m,Men,0
Issey Miyake,Brown,55.0,Bottom,5.0,m,Men,1
Fruit Of The Loom,Green,39.0,Top,5.0,l,Men,2
Louis Vuitton,Brown,1311.0,Acceorie,5.0,ONE SIZE,Men,1
Rick Owens,Black,190.0,Footwear,5.0,l,Men,1
Number (N)ine,multi_color,96.0,Top,5.0,m,Men,0
NBA,Black,60.0,Outerwear,5.0,xl,Men,0
Fila,Blue,47.0,Top,5.0,m,Men,1
Versace Jeans Couture,White,45.0,Top,5.0,s,Men,2
Anti Social Social Club,Black,75.0,Top,5.0,l,Men,1
Undercover,White,41.0,Top,5.0,m,Men,0
Kanye West,Blue,168.0,Top,5.0,s,Men,0
Supreme,Black,290.0,Acceorie,5.0,ONE SIZE,Men,0
Takahiromiyashita The Soloist.,White,120.0,Top,5.0,l,Men,2
Travis Scott,Beige,815.0,Footwear,5.0,m,Men,1
Tommy Hilfiger,Tan,37.0,Bottom,5.0,l,Men,0
Champion,Black,35.0,Top,5.0,s,Men,1
Hedi Slimane,Grey,110.0,Top,5.0,s,Men,1
Valentino,Beige,70.0,Outerwear,5.0,m,Men,2
Seditionaries,Black,65.0,Top,5.0,m,Men,1
Hawaiian Shirt,Beige,42.0,Top,5.0,l,Men,0
Ysl Pour Homme,Blue,38.0,Top,5.0,l,Men,2
Levi's,Blue,150.0,Bottom,5.0,m,Men,3
Reebok,Navy,48.0,Top,5.0,xl,Men,1
Stussy,Green,95.0,Footwear,5.0,m,Men,1
Off-White,White,85.0,Top,5.0,m,Men,2
Military,Olive,37.0,Bottom,5.0,xxl,Men,2
Hanes,Black,52.0,Top,5.0,s,Men,1
Nike,Black,45.0,Top,5.0,l,Men,1
Calvin Klein,Black,71.0,Outerwear,5.0,s,Men,1
Palace,Grey,50.0,Top,5.0,l,Men,0
Ralph Lauren,Navy,195.0,Bottom,5.0,l,Men,0
Saint Laurent Paris,Red,602.0,Luggage,5.0,ONE SIZE,Women,2
Kapital,Blue,60.0,Outerwear,5.0,l,Men,3
Disney,Grey,55.0,Top,5.0,xxl,Men,2
Distressed Denim,Black,65.0,Bottom,5.0,l,Men,0
Kappa,Blue,47.0,Top,5.0,xl,Men,2
Lacoste,Blue,85.0,Top,5.0,l,Men,1
Avant Garde,Red,64.0,Top,5.0,s,Women,2
Virgil Abloh,White,400.0,Top,5.0,m,Men,0
Russell Athletic,Navy,60.0,Top,5.0,m,Men,2
Mickey Mouse,White,45.0,Top,5.0,m,Men,1
Burberry,Beige,205.0,Outerwear,5.0,l,Men,2
Acne Studios,Blue,45.0,Bottom,5.0,m,Men,1
Balenciaga,Blue,365.0,Outerwear,5.0,s,Men,0
Band Tees,Black,60.0,Top,5.0,l,Men,1
Harley Davidson,Grey,53.0,Top,5.0,xxl,Men,1
Polo Ralph Lauren,multi_color,50.0,Top,5.0,s,Men,1
The North Face,Black,230.0,Outerwear,5.0,m,Men,1
Hype,Black,42.0,Acceorie,5.0,ONE SIZE,Men,0
Puma,Red,139.0,Footwear,5.0,m,Men,2
Gucci,Brown,160.0,Acceorie,5.0,ONE SIZE,Men,0
Dior,Black,256.0,Luggage,5.0,ONE SIZE,Women,2
Hysteric Glamour,Silver,60.0,Acceorie,5.0,ONE SIZE,Men,1
Prada,multi_color,250.0,Acceorie,5.0,ONE SIZE,Women,0
Patagonia,Grey,49.0,Bottom,5.0,m,Men,2
Dolce & Gabbana,Black,165.0,Bottom,5.0,m,Men,2
Levi's Vintage Clothing,Grey,70.0,Bottom,5.0,l,Men,1
Dickies,Beige,45.0,Bottom,5.0,m,Men,1
Bape,White,110.0,Top,5.0,xl,Men,0
MLB,White,80.0,Top,5.0,xl,Men,1
Uniqlo,White,33.0,Top,5.0,s,Men,1
Vans,Black,110.0,Footwear,5.0,l,Men,1
Rick Owens Drkshdw,Black,650.0,Footwear,5.0,m,Women,1
Adidas,Brown,120.0,Outerwear,5.0,l,Men,2
Gildan,Grey,32.0,Top,5.0,l,Men,1
Kapital Kountry,multi_color,160.0,Top,5.0,m,Men,1
Luxury,White,139.0,Top,5.0,s,Men,1
Lee,Brown,90.0,Bottom,5.0,m,Men,2
NFL,Black,38.0,Top,5.0,xl,Men,2
Tour Tee,Black,84.0,Top,5.0,xl,Men,2
Guess,multi_color,36.0,Top,5.0,m,Men,0
Gap,Black,212.0,Top,5.0,m,Men,2
Converse,Black,50.0,Footwear,5.0,m,Men,1
Versace,Red,310.0,Footwear,5.0,l,Men,0
Yves Saint Laurent,Black,72.0,Acceorie,5.0,ONE SIZE,Women,2
Maison Margiela,White,115.0,Footwear,5.0,l,Women,1
Issey Miyake,multi_color,100.0,Outerwear,5.0,m,Men,2
Fruit Of The Loom,Yellow,31.0,Top,5.0,xl,Men,1
Louis Vuitton,Blue,510.0,Bottom,5.0,m,Men,0
Rick Owens,Black,150.0,Footwear,5.0,l,Men,0
Number (N)ine,White,125.0,Top,5.0,m,Men,0
NBA,White,55.0,Top,5.0,xl,Men,2
Fila,Green,50.0,Top,5.0,xl,Men,1
Versace Jeans Couture,Black,180.0,Outerwear,5.0,m,Men,0
Anti Social Social Club,Pink,118.0,Top,5.0,m,Men,0
Undercover,White,110.0,Top,5.0,s,Men,2
