main_brand,color,sold_price,category,score,size,genda,condition_encoded
Kappa,Black,40.0,Top,5.0,l,Men,2
Lacoste,Black,45.0,Top,5.0,m,Men,1
Avant Garde,Black,70.0,Bottom,5.0,s,Men,1
Virgil Abloh,White,85.0,Top,5.0,s,Men,1
Russell Athletic,Black,60.0,Top,5.0,xl,Men,1
Mickey Mouse,Black,140.0,Footwear,5.0,l,Men,1
Burberry,Brown,60.0,Acceorie,5.0,ONE SIZE,Men,2
Acne Studios,Black,370.0,Outerwear,5.0,m,Men,1
Balenciaga,Red,478.0,Top,5.0,m,Men,0
Band Tees,Black,116.0,Top,5.0,s,Men,2
Harley Davidson,Black,90.0,Top,5.0,xl,Men,2
Polo Ralph Lauren,multi_color,55.0,Top,5.0,s,Men,1
The North Face,Black,68.0,Outerwear,5.0,m,Men,1
Hype,Tan,135.0,Top,5.0,xl,Men,1
Puma,Blue,103.0,Outerwear,5.0,xl,Men,1
Gucci,multi_color,42.0,Acceorie,5.0,ONE SIZE,Men,1
Dior,Black,900.0,Acceorie,5.0,ONE SIZE,Men,2
Hysteric Glamour,Brown,120.0,Outerwear,5.0,m,Men,2
Prada,Black,525.0,Top,5.0,l,Men,1
Patagonia,Blue,92.0,Outerwear,5.0,l,Men,0
Dolce & Gabbana,Black,85.0,Bottom,5.0,s,Men,1
Levi's Vintage Clothing,Blue,100.0,Bottom,5.0,m,Men,2
Dickies,Black,50.0,Outerwear,5.0,s,Men,2
Bape,White,189.0,Top,5.0,xxl,Men,0
MLB,Red,70.0,Top,5.0,l,Men,2
Uniqlo,Black,110.0,Outerwear,5.0,l,Men,1
Vans,Black,40.0,Top,5.0,xl,Men,0
Rick Owens Drkshdw,Silver,100.0,Footwear,5.0,m,Men,0
Adidas,multi_color,110.0,Outerwear,5.0,m,Men,2
Gildan,Black,48.0,Top,5.0,xl,Men,2
Kapital Kountry,Beige,327.0,Top,5.0,l,Men,1
Luxury,multi_color,165.0,Bottom,5.0,l,Men,1
Lee,Brown,50.0,Top,5.0,xl,Men,2
NFL,Grey,35.0,Top,5.0,l,Men,1
Tour Tee,Black,90.0,Top,5.0,m,Men,1
